title,cast,crew,genres,keywords,overview,release_date,runtime,tagline,vote_average,finalcol
Enchanted,AmyAdams PatrickDempsey JamesMarsden TimothySpall,KevinLima,Comedy Family Fantasy Romance,poison queen fairytale musical princess portal animation fantasyworld evilwitch partanimation,,2007-11-20,107.0,,6.6,amyadams patrickdempsey jamesmarsden timothyspall kevinlima  comedy family fantasy romance  poison queen fairytale musical princess portal animation fantasyworld evilwitch partanimation
Safe House,DenzelWashington RyanReynolds VeraFarmiga JoelKinnaman,DanielEspinosa,Action Thriller,cia violence safehouse rogueagent capetownsouthafrica soccerstadium,,2012-02-09,115.0,,6.3,denzelwashington ryanreynolds verafarmiga joelkinnaman danielespinosa  action thriller  cia violence safehouse rogueagent capetownsouthafrica soccerstadium
102 Dalmatians,GlennClose IoanGruffudd AliceEvans TimMcInnerny,KevinLima,Comedy Family,londonengland prison releasefromprison women'sprison societyforthepreventionofcrueltytoanimals puppy pelz dog dalmatian,,2000-10-07,100.0,,5.1,glennclose ioangruffudd aliceevans timmcinnerny kevinlima  comedy family  londonengland prison releasefromprison women'sprison societyforthepreventionofcrueltytoanimals puppy pelz dog dalmatian
Tower Heist,BenStiller EddieMurphy CaseyAffleck AlanAlda,BrettRatner,Action Comedy,skyscraper thanksgiving billionaire parade fbiagent apartment highrise femaleagent ponzischeme emptysafe capercomedy planning safecracker recruiting heistmovie deceit lobby,,2011-11-02,104.0,,5.8,benstiller eddiemurphy caseyaffleck alanalda brettratner  action comedy  skyscraper thanksgiving billionaire parade fbiagent apartment highrise femaleagent ponzischeme emptysafe capercomedy planning safecracker recruiting heistmovie deceit lobby
The Holiday,CameronDiaz KateWinslet JudeLaw JackBlack,NancyMeyers,Comedy Romance,holiday londonengland filmmaking christmasparty countryhouse roomexchange surrey romanticcomedy losangeles multiplestorylines womandirector christmas,,2006-12-08,136.0,,6.7,camerondiaz katewinslet judelaw jackblack nancymeyers  comedy romance  holiday londonengland filmmaking christmasparty countryhouse roomexchange surrey romanticcomedy losangeles multiplestorylines womandirector christmas
Enemy of the State,WillSmith GeneHackman JonVoight ReginaKing,TonyScott,Action Drama Thriller,corruption washingtond.c. helicopter falselyaccused identity mexicanstandoff blackmail intelligence wiretap satellite nationalsecurityagency(nsa) politics explodingbuilding suspense mystery mafia conspiracy lawyer crime privacy surveillance baltimoremaryland secrethideout,,1998-11-20,132.0,,6.7,willsmith genehackman jonvoight reginaking tonyscott  action drama thriller  corruption washingtond.c. helicopter falselyaccused identity mexicanstandoff blackmail intelligence wiretap satellite nationalsecurityagency(nsa) politics explodingbuilding suspense mystery mafia conspiracy lawyer crime privacy surveillance baltimoremaryland secrethideout
It's Complicated,MerylStreep AlecBaldwin SteveMartin JohnKrasinski,NancyMeyers,Comedy Romance,graduation exhusband womandirector,,2009-12-23,121.0,,6.2,merylstreep alecbaldwin stevemartin johnkrasinski nancymeyers  comedy romance  graduation exhusband womandirector
Ocean's Thirteen,GeorgeClooney BradPitt MattDamon AlPacino,StevenSoderbergh,Crime Thriller,casino thief revenge heist lasvegas pretendingtoberich laborstrike,,2007-06-07,122.0,,6.5,georgeclooney bradpitt mattdamon alpacino stevensoderbergh  crime thriller  casino thief revenge heist lasvegas pretendingtoberich laborstrike
Open Season,MartinLawrence AshtonKutcher GarySinise DebraMessing,JillCulton RogerAllers AnthonyStacchi,Adventure Animation Family,hunter mountains garage grizzlybear bunny chase forest deer bear hunt,,2006-09-29,83.0,,6.1,martinlawrence ashtonkutcher garysinise debramessing jillculton rogerallers anthonystacchi  adventure animation family  hunter mountains garage grizzlybear bunny chase forest deer bear hunt
Divergent,ShaileneWoodley TheoJames KateWinslet MilesTeller,NeilBurger,Adventure Action ScienceFiction,basedonnovel dystopia youth dystopicfuture castesystem divergent basedonyoungadultnovel,,2014-03-14,139.0,,6.9,shailenewoodley theojames katewinslet milesteller neilburger  adventure action sciencefiction  basedonnovel dystopia youth dystopicfuture castesystem divergent basedonyoungadultnovel
Enemy at the Gates,JudeLaw RachelWeisz EdHarris JosephFiennes,Jean-JacquesAnnaud,War,winter sniper worldwarii stalingrad,,2001-03-13,131.0,,7.2,judelaw rachelweisz edharris josephfiennes jean-jacquesannaud  war  winter sniper worldwarii stalingrad
The Rundown,DwayneJohnson SeannWilliamScott RosarioDawson ChristopherWalken,PeterBerg,Adventure Action Comedy Thriller,hunter bounty bountyhunter fight amazon treasurehunt jungle,,2003-09-26,104.0,,6.4,dwaynejohnson seannwilliamscott rosariodawson christopherwalken peterberg  adventure action comedy thriller  hunter bounty bountyhunter fight amazon treasurehunt jungle
Last Action Hero,ArnoldSchwarzenegger F.MurrayAbraham ArtCarney CharlesDance,JohnMcTiernan,Adventure Fantasy Action Comedy Family,magic movieinmovie spoof magicalobject cartooncat ticket self-referential projectionist child'spointofview,,1993-06-18,130.0,,6.1,arnoldschwarzenegger f.murrayabraham artcarney charlesdance johnmctiernan  adventure fantasy action comedy family  magic movieinmovie spoof magicalobject cartooncat ticket self-referential projectionist child'spointofview
Memoirs of a Geisha,ZhangZiyi GongLi YoukiKudoh TsaiChin,RobMarshall,Drama History Romance,japan prostitute sistersisterrelationship brothel worldwarii geisha,,2005-12-06,145.0,,7.3,zhangziyi gongli youkikudoh tsaichin robmarshall  drama history romance  japan prostitute sistersisterrelationship brothel worldwarii geisha
The Fast and the Furious: Tokyo Drift,LucasBlack NathalieKelley SungKang ShadMoss,JustinLin,Action Crime Drama Thriller,carrace carjourney carmechanic auto cargarage auto-tuning drifting car automobileracing,,2006-06-03,104.0,,6.1,lucasblack nathaliekelley sungkang shadmoss justinlin  action crime drama thriller  carrace carjourney carmechanic auto cargarage auto-tuning drifting car automobileracing
Arthur Christmas,JamesMcAvoy HughLaurie BillNighy JimBroadbent,BarryCook SarahSmith,Drama Animation Family Comedy,holiday santaclaus duringcreditsstinger womandirector christmas,,2011-02-22,97.0,,6.7,jamesmcavoy hughlaurie billnighy jimbroadbent barrycook sarahsmith  drama animation family comedy  holiday santaclaus duringcreditsstinger womandirector christmas
Meet Joe Black,BradPitt AnthonyHopkins ClaireForlani JeffreyTambor,MartinBrest,Fantasy Drama Mystery,lifeanddeath loveatfirstsight brokenengagement fireworks religionandsupernatural teenagecrush fate doctor millionaire,,1998-11-12,178.0,,6.9,bradpitt anthonyhopkins claireforlani jeffreytambor martinbrest  fantasy drama mystery  lifeanddeath loveatfirstsight brokenengagement fireworks religionandsupernatural teenagecrush fate doctor millionaire
Collateral Damage,ArnoldSchwarzenegger FrancescaNeri EliasKoteas CliffCurtis,AndrewDavis,Action Thriller Drama,terrorist fbi colombia firemen revenge explosion carexplosion bombattack,,2002-02-06,108.0,,5.5,arnoldschwarzenegger francescaneri eliaskoteas cliffcurtis andrewdavis  action thriller drama  terrorist fbi colombia firemen revenge explosion carexplosion bombattack
All That Jazz,RoyScheider JessicaLange LelandPalmer AnnReinking,BobFosse,Drama Music,showbusiness filmmaking tapdancing movieinmovie divorce tvshowinfilm stand-upcomedian broadway rainstorm surgery dreamsequence editing semiautobiographical restroom screeningroom amphetamine prescriptiondrugabuse,,1979-12-20,123.0,,7.3,royscheider jessicalange lelandpalmer annreinking bobfosse  drama music  showbusiness filmmaking tapdancing movieinmovie divorce tvshowinfilm stand-upcomedian broadway rainstorm surgery dreamsequence editing semiautobiographical restroom screeningroom amphetamine prescriptiondrugabuse
Mirror Mirror,JuliaRoberts LilyCollins ArmieHammer NathanLane,TarsemSingh,Adventure Fantasy Drama Comedy ScienceFiction Family,attemptedmurder fairytale blackmagic cockroach villainess goodvsevil womanfightsman insecurity mirror snowkingdom snowwhite evilqueen enchantress gala financialproblem pendant halfnakedman returningmoney evilplot duringcreditsstinger,,2012-03-15,106.0,,5.5,juliaroberts lilycollins armiehammer nathanlane tarsemsingh  adventure fantasy drama comedy sciencefiction family  attemptedmurder fairytale blackmagic cockroach villainess goodvsevil womanfightsman insecurity mirror snowkingdom snowwhite evilqueen enchantress gala financialproblem pendant halfnakedman returningmoney evilplot duringcreditsstinger
Scott Pilgrim vs. the World,MichaelCera MaryElizabethWinstead KieranCulkin ChrisEvans,EdgarWright,Action Adventure Comedy,whipping hipster underagegirlfriend animatedflashback character'spointofviewcamerashot unconsciousness girlfight vegan aftercreditsstinger,,2010-07-27,112.0,,7.2,michaelcera maryelizabethwinstead kieranculkin chrisevans edgarwright  action adventure comedy  whipping hipster underagegirlfriend animatedflashback character'spointofviewcamerashot unconsciousness girlfight vegan aftercreditsstinger
The Core,AaronEckhart HilarySwank DelroyLindo StanleyTucci,JonAmiel,Action Thriller Adventure ScienceFiction,magneticfield centeroftheearth disasterfilm,,2003-03-28,136.0,,5.4,aaroneckhart hilaryswank delroylindo stanleytucci jonamiel  action thriller adventure sciencefiction  magneticfield centeroftheearth disasterfilm
Nutty Professor II: The Klumps,EddieMurphy JanetJackson LarryMiller JohnAles,PeterSegal,Fantasy Comedy Romance ScienceFiction,alterego madscientist family dean duringcreditsstinger researchlaboratory,,2000-07-27,106.0,,4.7,eddiemurphy janetjackson larrymiller johnales petersegal  fantasy comedy romance sciencefiction  alterego madscientist family dean duringcreditsstinger researchlaboratory
Scooby-Doo,FreddiePrinzeJr. SarahMichelleGellar MatthewLillard LindaCardellini,RajaGosnell,Mystery Adventure Comedy,amateurdetective voodoo resort crimesolving,,2002-06-14,88.0,,5.4,freddieprinzejr. sarahmichellegellar matthewlillard lindacardellini rajagosnell  mystery adventure comedy  amateurdetective voodoo resort crimesolving
Dredd,KarlUrban OliviaThirlby LenaHeadey WoodHarris,PeteTravis,Action ScienceFiction,usa corruption crimefighter judge metropolis law post-apocalyptic dystopia executivecase police futuristic basedoncomicbook gore survival gunfight gangster extremeviolence psychic violence criminal justice druglord basedongraphicnovel dystopicfuture darkhumor expertmarksman rookie dredd 2000ad,,2012-09-07,95.0,,6.6,karlurban oliviathirlby lenaheadey woodharris petetravis  action sciencefiction  usa corruption crimefighter judge metropolis law post-apocalyptic dystopia executivecase police futuristic basedoncomicbook gore survival gunfight gangster extremeviolence psychic violence criminal justice druglord basedongraphicnovel dystopicfuture darkhumor expertmarksman rookie dredd 2000ad
Click,AdamSandler KateBeckinsale ChristopherWalken DavidHasselhoff,FrankCoraci,Comedy Drama Fantasy Romance,regret workaholic heartattack architect dyinganddeath timetravel remotecontrol children liposuction hospital wedding dog secondchance alternatereality fatherhood obese,,2006-06-22,107.0,,6.0,adamsandler katebeckinsale christopherwalken davidhasselhoff frankcoraci  comedy drama fantasy romance  regret workaholic heartattack architect dyinganddeath timetravel remotecontrol children liposuction hospital wedding dog secondchance alternatereality fatherhood obese
Creepshow,HalHolbrook AdrienneBarbeau FritzWeaver LeslieNielsen,GeorgeA.Romero,Horror Comedy Fantasy,monster halloween meteor buriedalive cockroach anthology basedoncomicbook gore animatedsequence zombie livingdead,,1982-11-12,120.0,,6.7,halholbrook adriennebarbeau fritzweaver leslienielsen georgea.romero  horror comedy fantasy  monster halloween meteor buriedalive cockroach anthology basedoncomicbook gore animatedsequence zombie livingdead
Cats & Dogs 2 : The Revenge of Kitty Galore,JamesMarsden NickNolte ChristinaApplegate BetteMidler,BradPeyton,Comedy Family,torture aftercreditsstinger duringcreditsstinger 3d,,2010-07-30,82.0,,4.9,jamesmarsden nicknolte christinaapplegate bettemidler bradpeyton  comedy family  torture aftercreditsstinger duringcreditsstinger 3d
Jumper,HaydenChristensen JamieBell SamuelL.Jackson RachelBilson,DougLiman,Adventure Fantasy ScienceFiction,adolescence basedonnovel lossofchild fight chase teleportation supernaturalpowers leapintime enemy motherlylove,,2008-02-10,88.0,,5.9,haydenchristensen jamiebell samuell.jackson rachelbilson dougliman  adventure fantasy sciencefiction  adolescence basedonnovel lossofchild fight chase teleportation supernaturalpowers leapintime enemy motherlylove
Hellboy II: The Golden Army,RonPerlman SelmaBlair JeffreyTambor DougJones,GuillermodelToro,Adventure Fantasy ScienceFiction,auction northernireland resignation superhero rebellion violence spear cutarm splitscreen superheroteam armrippedoff supervillain remorse selfexile vanishingfigure fathersonconflict,,2008-07-11,120.0,,6.5,ronperlman selmablair jeffreytambor dougjones guillermodeltoro  adventure fantasy sciencefiction  auction northernireland resignation superhero rebellion violence spear cutarm splitscreen superheroteam armrippedoff supervillain remorse selfexile vanishingfigure fathersonconflict
Zodiac,JakeGyllenhaal RobertDowneyJr. MarkRuffalo AnthonyEdwards,DavidFincher,Crime Drama Mystery Thriller,california sanfrancisco killing journalist newspaper massmurder plannedmurder embassy victim threattodeath victimofmurder code police murder serialkiller reporter,,2007-03-02,157.0,,7.3,jakegyllenhaal robertdowneyjr. markruffalo anthonyedwards davidfincher  crime drama mystery thriller  california sanfrancisco killing journalist newspaper massmurder plannedmurder embassy victim threattodeath victimofmurder code police murder serialkiller reporter
The 6th Day,ArnoldSchwarzenegger MichaelRapaport TonyGoldwyn MichaelRooker,RogerSpottiswoode,ScienceFiction,clone future murder cloning lasergun dystopicfuture implantedmemory sci-fithriller,,2000-11-17,123.0,,5.7,arnoldschwarzenegger michaelrapaport tonygoldwyn michaelrooker rogerspottiswoode  sciencefiction  clone future murder cloning lasergun dystopicfuture implantedmemory sci-fithriller
Bruce Almighty,JimCarrey JenniferAniston PhilipBakerHall CatherineBell,TomShadyac,Fantasy Comedy,christianity moon responsability moses streetgang lovesickness journalism newlove faith prayer god carcrash,,2003-05-23,101.0,,6.4,jimcarrey jenniferaniston philipbakerhall catherinebell tomshadyac  fantasy comedy  christianity moon responsability moses streetgang lovesickness journalism newlove faith prayer god carcrash
The Expendables,SylvesterStallone JasonStatham DolphLundgren EricRoberts,SylvesterStallone,Thriller Adventure Action,tattoo martialarts sniper island mercenary bridge rescue escape church drug blade ensemblecast duringcreditsstinger,,2010-08-03,103.0,,6.0,sylvesterstallone jasonstatham dolphlundgren ericroberts sylvesterstallone  thriller adventure action  tattoo martialarts sniper island mercenary bridge rescue escape church drug blade ensemblecast duringcreditsstinger
Mission: Impossible,TomCruise JonVoight EmmanuelleBéart HenryCzerny,BrianDePalma,Adventure Action Thriller,paris londonengland spy cia terrorist secretidentity undercover armsdeal headquarter secretbase secretmission prague embassy secretagent tgv computer mission basedontvseries espionage agent,,1996-05-22,110.0,,6.7,tomcruise jonvoight emmanuellebéart henryczerny briandepalma  adventure action thriller  paris londonengland spy cia terrorist secretidentity undercover armsdeal headquarter secretbase secretmission prague embassy secretagent tgv computer mission basedontvseries espionage agent
The Hunger Games,JenniferLawrence JoshHutcherson LiamHemsworth WoodyHarrelson,GaryRoss,ScienceFiction Adventure Fantasy,hallucination dystopia femaleprotagonist bowandarrow knifethrowing knifefight game archery blindness glamour roastedpig sponsor chariot fictionaltvshow mineexplosion basedonyoungadultnovel,,2012-03-12,142.0,,6.9,jenniferlawrence joshhutcherson liamhemsworth woodyharrelson garyross  sciencefiction adventure fantasy  hallucination dystopia femaleprotagonist bowandarrow knifethrowing knifefight game archery blindness glamour roastedpig sponsor chariot fictionaltvshow mineexplosion basedonyoungadultnovel
The Hangover Part II,BradleyCooper EdHelms ZachGalifianakis JustinBartha,ToddPhillips,Comedy,sunglasses interpol undercovercop hangover duringcreditsstinger,,2011-05-25,102.0,,6.2,bradleycooper edhelms zachgalifianakis justinbartha toddphillips  comedy  sunglasses interpol undercovercop hangover duringcreditsstinger
Batman Returns,MichaelKeaton DannyDeVito MichellePfeiffer ChristopherWalken,TimBurton,Action Fantasy,holiday corruption doublelife dccomics crimefighter hallucination christmastree gothamcity vigilante superhero violence darkhero fictionalcity supervillain superpowers deformed birdcage evilcircus christmasholiday,,1992-06-19,126.0,,6.6,michaelkeaton dannydevito michellepfeiffer christopherwalken timburton  action fantasy  holiday corruption doublelife dccomics crimefighter hallucination christmastree gothamcity vigilante superhero violence darkhero fictionalcity supervillain superpowers deformed birdcage evilcircus christmasholiday
Over the Hedge,BruceWillis GarryShandling SteveCarell WandaSykes,KareyKirkpatrick TimJohnson,Comedy Animation Family,squirrel eatinganddrinking vororte garden grizzlybear entrapment suburbianidyll garbage forest turtle hidinginagarbagecontainer skunk racoon animal,,2006-04-22,83.0,,6.3,brucewillis garryshandling stevecarell wandasykes kareykirkpatrick timjohnson  comedy animation family  squirrel eatinganddrinking vororte garden grizzlybear entrapment suburbianidyll garbage forest turtle hidinginagarbagecontainer skunk racoon animal
Lilo & Stitch,ChrisSanders DaveighChase TiaCarrere DavidOgdenStiers,ChrisSanders DeanDeBlois,Animation Family,sistersisterrelationship extraterrestrialtechnology hawaii adoption mutation alienlife-form alienphenomenons animation dog deadparents,,2002-06-21,85.0,,7.1,chrissanders daveighchase tiacarrere davidogdenstiers chrissanders deandeblois  animation family  sistersisterrelationship extraterrestrialtechnology hawaii adoption mutation alienlife-form alienphenomenons animation dog deadparents
Charlotte's Web,JuliaRoberts SteveBuscemi JohnCleese OprahWinfrey,GaryWinick,Comedy Family Fantasy,hero barn spider pig egg friendship spring uncle friends rescue survival talkinganimal grass family desk raincoat talkingpig,,2006-12-15,97.0,,5.8,juliaroberts stevebuscemi johncleese oprahwinfrey garywinick  comedy family fantasy  hero barn spider pig egg friendship spring uncle friends rescue survival talkinganimal grass family desk raincoat talkingpig
Deep Impact,RobertDuvall TéaLeoni ElijahWood VanessaRedgrave,MimiLeder,Action Drama Romance,usapresident nasa metereologist spacemission comet naturaldisaster tsunami astronomer astronaut womandirector disastermovie,,1998-05-08,120.0,,5.9,robertduvall téaleoni elijahwood vanessaredgrave mimileder  action drama romance  usapresident nasa metereologist spacemission comet naturaldisaster tsunami astronomer astronaut womandirector disastermovie
RED 2,BruceWillis CatherineZeta-Jones AnthonyHopkins HelenMirren,DeanParisot,Action Comedy Crime Thriller,paris londonengland cia russia mi6 hiredkiller explodingairplane,,2013-07-18,116.0,,6.4,brucewillis catherinezeta-jones anthonyhopkins helenmirren deanparisot  action comedy crime thriller  paris londonengland cia russia mi6 hiredkiller explodingairplane
The Longest Yard,AdamSandler ChrisRock BurtReynolds MichaelIrvin,PeterSegal,Comedy Drama,prison americanfootball prisoner blackmail supervisor sport,,2005-05-19,113.0,,6.2,adamsandler chrisrock burtreynolds michaelirvin petersegal  comedy drama  prison americanfootball prisoner blackmail supervisor sport
Alvin and the Chipmunks: Chipwrecked,JasonLee DavidCross JennySlate AndyBuckley,MikeMitchell,Comedy Fantasy Family Music Animation,sequel chipmunk cruiseship overboard,,2011-12-14,87.0,,5.4,jasonlee davidcross jennyslate andybuckley mikemitchell  comedy fantasy family music animation  sequel chipmunk cruiseship overboard
Grown Ups 2,AdamSandler KevinJames ChrisRock DavidSpade,DennisDugan,Comedy,,,2013-07-11,100.0,,5.8,adamsandler kevinjames chrisrock davidspade dennisdugan  comedy  
Get Smart,SteveCarell AnneHathaway DwayneJohnson AlanArkin,PeterSegal,Action Comedy Thriller,dancing spy terrorist traitor airplane violin basedontvseries legs,,2008-06-19,110.0,,6.0,stevecarell annehathaway dwaynejohnson alanarkin petersegal  action comedy thriller  dancing spy terrorist traitor airplane violin basedontvseries legs
Something's Gotta Give,JackNicholson DianeKeaton KeanuReeves FrancesMcDormand,NancyMeyers,Drama Comedy Romance,agedifference ladykiller womandirector,,2003-12-12,128.0,,6.3,jacknicholson dianekeaton keanureeves francesmcdormand nancymeyers  drama comedy romance  agedifference ladykiller womandirector
Shutter Island,LeonardoDiCaprio MarkRuffalo BenKingsley EmilyMortimer,MartinScorsese,Drama Thriller Mystery,basedonnovel island hurricane investigation psychiatrichospital u.s.marshal conspiracytheory 1950s,,2010-02-18,138.0,,7.8,leonardodicaprio markruffalo benkingsley emilymortimer martinscorsese  drama thriller mystery  basedonnovel island hurricane investigation psychiatrichospital u.s.marshal conspiracytheory 1950s
Four Christmases,VinceVaughn ReeseWitherspoon RobertDuvall SissySpacek,SethGordon,Comedy Romance Drama,holiday romanticcomedy dysfunctionalfamily christmas,,2008-11-26,88.0,,5.3,vincevaughn reesewitherspoon robertduvall sissyspacek sethgordon  comedy romance drama  holiday romanticcomedy dysfunctionalfamily christmas
Robots,RobinWilliams EwanMcGregor HalleBerry MelBrooks,ChrisWedge CarlosSaldanha,Animation Comedy Family ScienceFiction,inventor businessman robot dishonesty,,2005-03-10,91.0,,6.0,robinwilliams ewanmcgregor halleberry melbrooks chriswedge carlossaldanha  animation comedy family sciencefiction  inventor businessman robot dishonesty
Face/Off,JohnTravolta NicolasCage JoanAllen AlessandroNivola,JohnWoo,Action Crime ScienceFiction Thriller,undercover mexicanstandoff biologicalweapon facetransplant rageandhate fistfight hostility revenge deception tragedy shootout hospital boatchase losangeles explosion extremeviolence fbiagent prisonescape criminalgang flashback goldengun archvillain bulletballet,,1997-06-27,138.0,,6.8,johntravolta nicolascage joanallen alessandronivola johnwoo  action crime sciencefiction thriller  undercover mexicanstandoff biologicalweapon facetransplant rageandhate fistfight hostility revenge deception tragedy shootout hospital boatchase losangeles explosion extremeviolence fbiagent prisonescape criminalgang flashback goldengun archvillain bulletballet
Bedtime Stories,AdamSandler KeriRussell GuyPearce CourteneyCox,AdamShankman,Fantasy Comedy Family Romance,wishescometrue escapade disorder imaginary miraculousevent imaginarykingdom lifeturnedupsidedown nothinggoesright,,2008-12-24,99.0,,5.9,adamsandler kerirussell guypearce courteneycox adamshankman  fantasy comedy family romance  wishescometrue escapade disorder imaginary miraculousevent imaginarykingdom lifeturnedupsidedown nothinggoesright
Road to Perdition,TomHanks TylerHoechlin JenniferJasonLeigh LiamAiken,SamMendes,Thriller Crime Drama,basedongraphicnovel homework shotinthechin softboiledegg learningtodrive spoiledson scarredface thompsonsubmachinegun frostonawindow cauterizingawound libertyhalfdollar,,2002-07-12,117.0,,7.3,tomhanks tylerhoechlin jenniferjasonleigh liamaiken sammendes  thriller crime drama  basedongraphicnovel homework shotinthechin softboiledegg learningtodrive spoiledson scarredface thompsonsubmachinegun frostonawindow cauterizingawound libertyhalfdollar
Just Go with It,AdamSandler JenniferAniston NicoleKidman NickSwardson,DennisDugan,Romance Comedy,beach fictitiousmarriage blackmail plasticsurgery marriage love beautifulwoman kidsandfamily,,2011-02-10,117.0,,6.3,adamsandler jenniferaniston nicolekidman nickswardson dennisdugan  romance comedy  beach fictitiousmarriage blackmail plasticsurgery marriage love beautifulwoman kidsandfamily
Con Air,NicolasCage JohnCusack JohnMalkovich VingRhames,SimonWest,Action Thriller Crime,prison ambush helicopter airport gasstation undercover mexicanstandoff bravery hijacking escape shootout u.s.marshal lasvegas explosion brutality violence convict desert warhero deaagent motorcyclechase,,1997-06-01,115.0,,6.5,nicolascage johncusack johnmalkovich vingrhames simonwest  action thriller crime  prison ambush helicopter airport gasstation undercover mexicanstandoff bravery hijacking escape shootout u.s.marshal lasvegas explosion brutality violence convict desert warhero deaagent motorcyclechase
Eagle Eye,ShiaLaBeouf MichelleMonaghan RosarioDawson MichaelChiklis,D.J.Caruso,Mystery Thriller Action,artificialintelligence washingtond.c. secretidentity hostage technology fbi pentagon twinbrother fbiagent,,2008-09-25,118.0,,6.3,shialabeouf michellemonaghan rosariodawson michaelchiklis d.j.caruso  mystery thriller action  artificialintelligence washingtond.c. secretidentity hostage technology fbi pentagon twinbrother fbiagent
Cold Mountain,JudeLaw NicoleKidman RenéeZellweger EileenAtkins,AnthonyMinghella,Drama,lossoflover lossoffamily deserter lossoffather loveofone'slife,,2003-12-24,154.0,,6.7,judelaw nicolekidman renéezellweger eileenatkins anthonyminghella  drama  lossoflover lossoffamily deserter lossoffather loveofone'slife
The Book of Eli,DenzelWashington GaryOldman MilaKunis RayStevenson,AlbertHughes AllenHughes,Action Thriller ScienceFiction,book post-apocalyptic dystopia faith blind,,2010-01-14,118.0,,6.6,denzelwashington garyoldman milakunis raystevenson alberthughes allenhughes  action thriller sciencefiction  book post-apocalyptic dystopia faith blind
Flubber,RobinWilliams MarciaGayHarden ChristopherMcDonald RaymondJ.Barry,LesMayfield,Comedy Family ScienceFiction,weddingvows inventor slime green flight madscientist wedding,,1997-11-26,93.0,,5.3,robinwilliams marciagayharden christophermcdonald raymondj.barry lesmayfield  comedy family sciencefiction  weddingvows inventor slime green flight madscientist wedding
The Haunting,LiamNeeson CatherineZeta-Jones OwenWilson LiliTaylor,JandeBont,Horror Thriller Fantasy Mystery,basedonnovel trauma castle hauntedhouse insomnia bone poster painting remake haunting childlabor audiorecording spiralstaircase evil loner researcher insomniac paranormalactivity logbook  strangenoise spook cherub,,1999-07-23,113.0,,5.2,liamneeson catherinezeta-jones owenwilson lilitaylor jandebont  horror thriller fantasy mystery  basedonnovel trauma castle hauntedhouse insomnia bone poster painting remake haunting childlabor audiorecording spiralstaircase evil loner researcher insomniac paranormalactivity logbook  strangenoise spook cherub
Space Jam,MichaelJordan WayneKnight BillyWest DeeBradleyBaker,JoePytka,Animation Comedy Drama Family Fantasy,sport basketball doctor basketballteam basketballgame referee basketballcourt tweetybird speedygonzales cartoonchicken sylvesterthecat cartoonrealitycrossover basketballhoop cartoonskunk,,1996-11-15,88.0,,6.5,michaeljordan wayneknight billywest deebradleybaker joepytka  animation comedy drama family fantasy  sport basketball doctor basketballteam basketballgame referee basketballcourt tweetybird speedygonzales cartoonchicken sylvesterthecat cartoonrealitycrossover basketballhoop cartoonskunk
The Pink Panther,SteveMartin KevinKline JeanReno BeyoncéKnowles,ShawnLevy,Action Comedy Crime Mystery Family,robbery investigation inspector killer clouseau pinkpanther murderhunt,,2006-01-18,93.0,,5.6,stevemartin kevinkline jeanreno beyoncéknowles shawnlevy  action comedy crime mystery family  robbery investigation inspector killer clouseau pinkpanther murderhunt
The Day the Earth Stood Still,KeanuReeves JenniferConnelly KathyBates JadenSmith,ScottDerrickson,Drama ScienceFiction Thriller,extraterrestrialtechnology spacecraft ultimatum evacuation panic government remake ufo alien endoftheworld giantrobot tank socialcommentary poweroutage interrogation environmentalism threat aliencontact centralpark messenger nanobots disintegration,,2008-12-10,104.0,,5.2,keanureeves jenniferconnelly kathybates jadensmith scottderrickson  drama sciencefiction thriller  extraterrestrialtechnology spacecraft ultimatum evacuation panic government remake ufo alien endoftheworld giantrobot tank socialcommentary poweroutage interrogation environmentalism threat aliencontact centralpark messenger nanobots disintegration
Conspiracy Theory,MelGibson JuliaRoberts PatrickStewart CylkCozart,RichardDonner,Action Drama Mystery Thriller,newyork cia helicopter assassin secret obsession taxidriver fbi paranoia wheelchair chase theory politics government control cover-up murder suspense conspiracy torture flashback target geronimo newsletter,,1997-08-07,135.0,,6.5,melgibson juliaroberts patrickstewart cylkcozart richarddonner  action drama mystery thriller  newyork cia helicopter assassin secret obsession taxidriver fbi paranoia wheelchair chase theory politics government control cover-up murder suspense conspiracy torture flashback target geronimo newsletter
Fury,BradPitt ShiaLaBeouf LoganLerman MichaelPeña,DavidAyer,War Drama Action,worldwarii nazis war nazigermany panzer tank,,2014-10-15,135.0,,7.4,bradpitt shialabeouf loganlerman michaelpeña davidayer  war drama action  worldwarii nazis war nazigermany panzer tank
Six Days Seven Nights,HarrisonFord AnneHeche DavidSchwimmer JacquelineObradors,IvanReitman,Action Adventure Comedy Romance,overleven familyguy,,1998-06-12,98.0,,5.6,harrisonford anneheche davidschwimmer jacquelineobradors ivanreitman  action adventure comedy romance  overleven familyguy
Yogi Bear,DanAykroyd JustinTimberlake AnnaFaris TomCavanagh,EricBrevig,Comedy Family Animation Adventure,picnic sandwich bear 3d yogi,,2010-12-11,80.0,,5.2,danaykroyd justintimberlake annafaris tomcavanagh ericbrevig  comedy family animation adventure  picnic sandwich bear 3d yogi
